participant,Spearman_r,p,pspin,p_fdr
BEST-BN-001,0.0663650110371108,0.5907792274676836,0.3095,0.8603588201857946
BEST-BN-002,-0.19336732790099484,0.11412134674574263,0.0595,0.5087993439674156
BEST-BN-004,-0.16449969364089376,0.180082109560109,0.0975,0.5896236813016472
BEST-BN-005,-0.08438819009897287,0.4938468309629023,0.2625,0.823176906732149
BEST-BN-006,0.06621227223150179,0.5916358983504808,0.3355,0.8603588201857946
BEST-BN-007,-0.22506063006486252,0.06500260246393413,0.0435,0.45501821724753894
BEST-BN-008,-0.12051091762550155,0.32762550657338263,0.16699999999999998,0.7270083624031035
BEST-BN-010,0.10615346989825547,0.38892263554193796,0.2225,0.8105753791702551
BEST-BN-011,0.21108502935163898,0.0840046603032847,0.055,0.461445779460846
BEST-BN-012,0.029707697690950635,0.8099525917852473,0.3935,0.9576302687585215
BEST-BN-013,0.009698914156171544,0.9374316728853018,0.473,0.9809207711119395
BEST-BN-014,0.03849017901346818,0.7553223852523627,0.3545,0.9576302687585215
BEST-BN-015,0.041544955125648195,0.7365826511907274,0.356,0.949968275353762
BEST-BN-016,0.0851518841270179,0.4899315837119713,0.268,0.823176906732149
BEST-BN-017,-0.03558814170689716,0.7732565905314306,0.399,0.9576302687585215
BEST-BN-018,0.14792753323231717,0.22864274945362806,0.1245,0.6155297218575948
BEST-BN-020,0.13754129445090513,0.2633567365369524,0.1355,0.6674237749978222
BEST-BN-021,0.29455678661695783,0.014756272821023604,0.0035,0.23339445682272733
BEST-BN-022,-0.24713138747536312,0.042179190774990494,0.025,0.36404430006614297
BEST-BN-023,-0.1298279847676506,0.29132732878400525,0.16199999999999998,0.7195471011787475
BEST-BN-024,0.12211467508439605,0.32118143927936904,0.161,0.7270083624031035
BEST-BN-025,0.051167499879015234,0.6785907210678346,0.359,0.9122775918991419
BEST-BN-026,0.11760888031893053,0.3394930211558087,0.164,0.7331604605811614
BEST-BN-027,-0.008171526100081537,0.9472696124399685,0.471,0.9811006700271102
BEST-BN-029,-0.09141417515698692,0.45845138512931416,0.2225,0.823176906732149
BEST-BN-030,0.021077955174042096,0.8645306577441285,0.458,0.9749984640114338
BEST-BN-031,0.09393436544953541,0.44610263156796015,0.217,0.823176906732149
BEST-BN-032,-0.06323386552212629,0.6084511656303444,0.30000000000000004,0.8759970682479427
BEST-BN-033,-0.16679077572502873,0.17400830303387818,0.095,0.5896236813016472
BEST-BN-034,0.20497547712727893,0.09358371865041351,0.0545,0.461445779460846
BEST-BN-035,0.18282835031397385,0.13562064189015,0.094,0.5264886555047038
BEST-BN-036,0.12341295493207255,0.3160244824794698,0.1725,0.7270083624031035
BEST-BN-037,0.011837257434697553,0.9236745479214462,0.45,0.9772153866415604
BEST-BN-038,0.0019092350701125087,0.987671519443958,0.489,0.993552075350231
BEST-BN-039,0.09385799604673092,0.4464740954326918,0.238,0.823176906732149
BEST-BN-040,0.3684823685317142,0.0019892949726829042,0.0005,0.0970968209247095
BEST-BN-041,0.18893790253833387,0.12281363475075548,0.056499999999999995,0.5087993439674156
BEST-BN-042,0.054833231213631255,0.6569574867236189,0.3145,0.9060166725416171
BEST-BN-043,0.08408271248775488,0.49541749801294177,0.28700000000000003,0.823176906732149
BEST-BN-044,-0.07614029459608684,0.5371521339617105,0.2885,0.8260748726835396
BEST-BN-045,0.010997194003848049,0.9290766976444391,0.473,0.9772153866415604
